number,value,datetime_start,datetime_complete,duration,params_ONFIRE_COEFF,params_SUPPRESSED_COEFF,state
0,4476.755809771506,2025-05-30 21:49:22.650660,2025-05-30 22:10:17.387354,0 days 00:20:54.736694,5.198746511585428,121.96966607346961,COMPLETE
1,5421.216068708491,2025-05-30 22:10:17.387572,2025-05-30 22:31:14.401199,0 days 00:20:57.013627,1.31512857437248,671.3508311178007,COMPLETE
2,10657.432917999988,2025-05-30 22:31:14.401404,2025-05-30 22:52:14.257115,0 days 00:20:59.855711,5.857121535761401,935.4424787506398,COMPLETE
3,-135.01694066877053,2025-05-30 22:52:14.257381,2025-05-30 23:13:29.248190,0 days 00:21:14.990809,7.54925182018417,43.48532400397059,COMPLETE
4,3775.16598806047,2025-05-30 23:13:29.248394,2025-05-30 23:34:25.318506,0 days 00:20:56.070112,9.025514378466482,381.9624254344472,COMPLETE
5,-1679.5203126002384,2025-05-30 23:34:25.318711,2025-05-30 23:55:26.766029,0 days 00:21:01.447318,7.312751841712066,485.180370815733,COMPLETE
6,11734.864975190623,2025-05-30 23:55:26.766284,2025-05-31 00:16:23.917045,0 days 00:20:57.150761,1.5628360392324931,754.1667806873315,COMPLETE
7,-784.3676075028852,2025-05-31 00:16:23.917254,2025-05-31 00:37:31.606722,0 days 00:21:07.689468,7.527351331900228,886.7659427211091,COMPLETE
8,3654.6995788711,2025-05-31 00:37:31.606942,2025-05-31 00:58:47.396007,0 days 00:21:15.789065,4.115995303629122,220.0408263569157,COMPLETE
9,1054.9217254185205,2025-05-31 00:58:47.396205,2025-05-31 01:19:40.812945,0 days 00:20:53.416740,7.558064379605308,667.0805997439712,COMPLETE
10,16242.083425249424,2025-05-31 01:19:40.813149,2025-05-31 01:40:44.559090,0 days 00:21:03.745941,1.6320524540604535,745.8103286759019,COMPLETE
11,6328.057365032941,2025-05-31 01:40:44.559290,2025-05-31 02:01:40.667484,0 days 00:20:56.108194,1.1810882414852077,709.2260655145711,COMPLETE
12,25456.107728710525,2025-05-31 02:01:40.667686,2025-05-31 02:22:39.179296,0 days 00:20:58.511610,3.011612543315633,798.489267886768,COMPLETE
13,26152.564089205694,2025-05-31 02:22:39.179505,2025-05-31 02:43:37.064671,0 days 00:20:57.885166,2.8383023762093185,988.2402712254446,COMPLETE
14,22171.134333848113,2025-05-31 02:43:37.064866,2025-05-31 03:04:31.472401,0 days 00:20:54.407535,3.18638170797507,988.5936438938169,COMPLETE
15,-6153.295604487343,2025-05-31 03:04:31.472602,2025-05-31 03:25:54.133163,0 days 00:21:22.660561,3.3406013883781798,852.6985043812499,COMPLETE
16,6074.830337029642,2025-05-31 03:25:54.133365,2025-05-31 03:46:51.837707,0 days 00:20:57.704342,2.9218797219536223,838.7931399958761,COMPLETE
17,4271.846297753244,2025-05-31 03:46:51.837910,2025-05-31 04:08:04.331167,0 days 00:21:12.493257,4.786945559138741,491.14042425203183,COMPLETE
18,27031.485345992274,2025-05-31 04:08:04.331433,2025-05-31 04:29:02.497656,0 days 00:20:58.166223,2.443004957766541,997.8097389133627,COMPLETE
19,13859.064114748966,2025-05-31 04:29:02.497861,2025-05-31 04:50:06.945702,0 days 00:21:04.447841,2.266159700158808,595.6326532358237,COMPLETE
