episode,helicopter,drone,groundcrew
1,-1234.0,-1234.0,-1234.0
2,-3309.699999999999,-3309.699999999999,-3309.699999999999
3,85.4000000000014,85.4000000000014,85.4000000000014
4,818.7000000000003,818.7000000000003,818.7000000000003
5,-1692.4999999999993,-1692.4999999999993,-1692.4999999999993
6,-2259.3999999999996,-2259.3999999999996,-2259.3999999999996
7,763.5000000000002,763.5000000000002,763.5000000000002
8,-5076.500000000003,-5076.500000000003,-5076.500000000003
9,1269.0999999999992,1269.0999999999992,1269.0999999999992
10,1956.8,1956.8,1956.8
